asset_id	path	kind	language	bytes	sha256_prefix	role	exec_order	invoked_by	external_tools	databases_refs_needed	hardcoded_paths	inputs	outputs	key_parameters	stochastic	manual_steps	executable_as_released	complete_from_raw_inputs	used_in_this_audit	notes
S09	spire_pipeline_scripts/requirements.txt	dependencies	text	2508	f2f965220fe24608	python pins + external tools	-	-	-	-	-	-	-	numpy 1.24.3; pandas 2.0.3; scipy 1.11.4; statsmodels 0.14.1; biopython 1.81; Python 3.11	-	-	-	-	read	also lists Prodigal 2.6.3, taxonkit 0.14, trimal 1.4, Gappa latest (none invoked by any script)
S10	spire_pipeline_scripts/LICENSE.txt	licence	text	1070	eb296de293f4e543	MIT, © 2026 Nicolás Toro	-	-	-	-	-	-	-	-	-	-	-	-	read	-
H00	SPIRE_retron_type_specific_HMMs.tar.gz	HMM bundle (separate file)	-	1057761	046d42d538b26a87	29 type-specific HMMs + all_retron_RT.hmm + calibration_thresholds.tsv	-	S02 (as type_specific/)	-	-	-	-	-	HMMER3/f [3.3.2 | Nov 2020]; built 2026-04-22	-	-	-	-	hashed and read only (out of scope)	all_retron_RT.hmm is the 29 type models concatenated (first model NSEQ 33 = clade11-A); it is NOT the 'general_retron_RT.hmm' S00 expects — that file is unreleased
H01	SPIRE_retron_HMMs_for_Zenodo/calibration_thresholds.tsv	thresholds	tsv	876	0fe9c49c3a979f56	released per-type thresholds	-	-	-	-	-	-	-	-	-	-	-	-	read only	column 'type' (02 writes 'group')
EXT_mlocarna	/home/borg/miniconda3/envs/locarna_test/bin/mlocarna	tool	perl/C++	-	-	LocARNA 2.0.1 (bioconda pl5321h9948957_2)	-	S07	-	-	-	-	-	-	-	-	-	-	used (Arm A, B-struct alignment)	version equals SPIRE README
EXT_rscape	/home/borg/miniconda3/envs/retron_tradicional/bin/R-scape	tool	C	-	-	R-scape 2.0.4.a (Dec 2023; bioconda h503566f_1)	-	S07	-	-	-	-	-	-	-	-	-	-	used (all arms; --cacofold for B)	SPIRE README 2.0.4; '.a' patch level UNKNOWN for SPIRE
EXT_vienna	/home/borg/miniconda3/envs/locarna_test/bin/RNAfold	tool	C	-	-	ViennaRNA 2.7.2 in the mLocARNA env; 2.7.0 in retron_tradicional	-	mlocarna	-	-	-	-	-	-	-	-	-	-	used indirectly	SPIRE ViennaRNA version UNKNOWN
EXT_mafft	/home/borg/miniconda3/envs/retron_tradicional/bin/mafft	tool	C	-	-	MAFFT 7.525	-	-	-	-	-	-	-	-	-	-	-	-	used (Arm B-seq)	SPIRE used 7.490 for proteins only
EXT_infernal	/home/borg/miniconda3/envs/retron_tradicional/bin/cmsearch	tool	C	-	-	Infernal 1.1.5	-	(07 'next steps' only)	-	-	-	-	-	-	-	-	-	-	used for post-hoc candidate comparison against padlocdb.cm	version equals SPIRE README
EXT_hmmer	/home/borg/miniconda3/envs/retron_tradicional/bin/hmmsearch	tool	C	-	-	HMMER 3.4 locally; SPIRE HMMs built with 3.3.2; README says 3.3	-	S00, S02	-	-	-	-	-	-	-	-	-	-	not used	-
EXT_cmfinder	/home/borg/miniconda3/envs/retron_tradicional/bin/cmfinder.pl	tool	perl	-	-	CMfinder 0.4.1.9 (bioconda); wrapper broken ('_cmfinder.pl: command not found')	-	none (README only)	-	-	-	-	-	-	-	-	-	-	not used	listed by SPIRE, invoked by no SPIRE script
EXT_unlisted	R2R; IQ-TREE2 2.3.2; EPA-ng; Gappa; HHsuite 3; taxonkit 0.14; trimal 1.4; Prodigal 2.6.3	tools	-	-	-	-	listed in README/requirements; invoked by no SPIRE script (r2r only as a printed suggestion)	-	-	-	-	-	-	-	-	-	-	-	-	not used	UNKNOWN versions for EPA-ng, Gappa, MMseqs2 ('latest')
