family	completeness_class	bin_start_aa	n_exact_rt	unit	denominator
MULTI	all_complete	310	28	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	320	24	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	330	19	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	340	26	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	350	15	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	360	18	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	370	20	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	380	26	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	390	30	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	400	49	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	410	20	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	420	27	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	430	57	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	440	79	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	450	22	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	460	19	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	470	11	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	480	10	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	490	21	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	500	26	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	510	23	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	520	9	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	530	7	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	540	11	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	550	9	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	560	10	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	570	12	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	580	12	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	590	12	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	600	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	610	12	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	620	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	630	2	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	640	8	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	650	3	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	660	4	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	670	9	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	680	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	690	3	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	700	7	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	710	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	720	11	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	730	4	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	740	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	750	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	760	1	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	770	2	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	780	2	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	790	8	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	800	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	810	9	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	820	3	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	830	6	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	840	4	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	850	2	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	860	4	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	870	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	880	2	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	890	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	900	4	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	910	2	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	920	10	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	930	10	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	940	11	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	950	9	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	960	8	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	970	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	980	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	990	6	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1000	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1010	6	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1020	6	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1030	3	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1040	3	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1050	3	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1060	2	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1070	4	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1080	2	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1090	2	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1100	3	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1110	3	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1120	14	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1130	3	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1140	3	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1150	2	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1160	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1170	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1180	9	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1190	5	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_complete	1200	88	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	20	3	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	30	18	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	40	26	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	50	27	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	60	54	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	70	49	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	80	54	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	90	53	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	100	64	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	110	48	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	120	49	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	130	46	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	140	46	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	150	33	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	160	70	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	170	94	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	180	87	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	190	69	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	200	77	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	210	58	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	220	59	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	230	64	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	240	55	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	250	39	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	260	45	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	270	39	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	280	39	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	290	37	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	300	39	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	310	38	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	320	35	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	330	40	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	340	31	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	350	36	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	360	40	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	370	36	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	380	29	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	390	25	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	400	33	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	410	29	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	420	39	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	430	25	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	440	28	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	450	25	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	460	17	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	470	16	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	480	20	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	490	11	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	500	24	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	510	20	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	520	26	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	530	25	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	540	13	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	550	19	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	560	26	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	570	21	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	580	17	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	590	20	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	600	20	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	610	12	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	620	26	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	630	18	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	640	21	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	650	14	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	660	21	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	670	14	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	680	11	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	690	11	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	700	11	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	710	10	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	720	15	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	730	17	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	740	14	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	750	13	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	760	14	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	770	12	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	780	15	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	790	10	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	800	12	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	810	9	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	820	14	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	830	11	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	840	11	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	850	7	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	860	8	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
MULTI	all_partial	870	15	exact RT sequences	exact RTs of that family and completeness class, binned at 10 aa (bin_start_aa 1210 = 1,205 aa and above)
