quantity	landed_value	rederived_value	landed_bundle	landed_table	tolerance	verdict	unit	denominator
n_loci in gtdb_archaea	3347.0	3347.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in gtdb_archaea	2766.0	2766.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_genomes in gtdb_archaea	1806.0	1806.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in gtdb_bacteria	600551.0	600551.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in gtdb_bacteria	600551.0	600551.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in gtdb_bacteria	220934.0	220934.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_genomes in gtdb_bacteria	299306.0	299306.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in mgnify_human_gut	142185.0	142185.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in mgnify_human_gut	142185.0	142185.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in mgnify_human_gut	72910.0	72910.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_genomes in mgnify_human_gut	87226.0	87226.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in mgnify_marine	7952.0	7952.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in mgnify_marine	7952.0	7952.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in mgnify_marine	6009.0	6009.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_genomes in mgnify_marine	4817.0	4817.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in mgnify_soil	15658.0	15658.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in mgnify_soil	15658.0	15658.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in mgnify_soil	14086.0	14086.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_genomes in mgnify_soil	5461.0	5461.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in ncbi_archaea	7915.0	7915.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in ncbi_archaea	7915.0	7915.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in ncbi_archaea	6956.0	6956.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_genomes in ncbi_archaea	4047.0	4047.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in ncbi_bacteria	2251359.0	2251359.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in ncbi_bacteria	2251354.0	2251354.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in ncbi_bacteria	409992.0	409992.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_genomes in ncbi_bacteria	1237519.0	1237519.0	dbchar_g2_canonical_units	g2_ladder_by_source_database.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in MULTI	9012.0	9012.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in MULTI	8542.0	8542.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in MULTI	7593.0	7593.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-AbiA	46.0	46.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-AbiA	42.0	42.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-AbiA	11.0	11.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-AbiK	9516.0	9516.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-AbiK	9370.0	9370.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-AbiK	966.0	966.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-AbiP2	47306.0	47306.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-AbiP2	44697.0	44697.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-AbiP2	6377.0	6377.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-CRISPR	9711.0	9711.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-CRISPR	7355.0	7355.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-CRISPR	4047.0	4047.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-CRISPR-like	6776.0	6776.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-CRISPR-like	5715.0	5715.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-CRISPR-like	3168.0	3168.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-DGRs	228165.0	228165.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-DGRs	173191.0	173191.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-DGRs	76111.0	76111.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-G2L	38428.0	38428.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-G2L	38031.0	38031.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-G2L	1988.0	1988.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-G2L4	3055.0	3055.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-G2L4	2760.0	2760.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-G2L4	913.0	913.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-G2Lb	657.0	657.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-G2Lb	641.0	641.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-G2Lb	324.0	324.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-G2Lc	1498.0	1498.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-G2Lc	1263.0	1263.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-G2Lc	355.0	355.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-GII	1613901.0	1613901.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-GII	1525893.0	1525893.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-GII	256624.0	256624.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG1	7729.0	7729.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG1	7393.0	7393.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG1	1725.0	1725.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG10	2114.0	2114.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG10	1880.0	1880.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG10	648.0	648.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG11	75673.0	75673.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG11	73555.0	73555.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG11	1292.0	1292.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG12	6454.0	6454.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG12	5692.0	5692.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG12	2279.0	2279.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG13	2011.0	2011.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG13	1631.0	1631.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG13	929.0	929.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG14	2525.0	2525.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG14	2169.0	2169.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG14	881.0	881.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG15	15961.0	15961.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG15	15339.0	15339.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG15	3479.0	3479.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG16	2480.0	2480.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG16	2361.0	2361.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG16	595.0	595.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG17	39508.0	39508.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG17	38354.0	38354.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG17	4702.0	4702.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG18	2127.0	2127.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG18	2031.0	2031.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG18	299.0	299.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG19	2244.0	2244.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG19	1651.0	1651.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG19	1010.0	1010.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG2	46286.0	46286.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG2	42793.0	42793.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG2	8423.0	8423.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG20	636.0	636.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG20	556.0	556.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG20	349.0	349.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG21	385.0	385.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG21	315.0	315.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG21	193.0	193.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG22	952.0	952.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG22	871.0	871.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG22	484.0	484.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG23	1413.0	1413.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG23	1288.0	1288.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG23	697.0	697.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG24	3389.0	3389.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG24	2670.0	2670.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG24	949.0	949.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG25	559.0	559.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG25	456.0	456.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG25	216.0	216.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
