claim_id	area	claim	inferential_unit	population_n	exact_dataset	grade	rev1_grade	preregistered	independent_evidence	circularity_risk	phylogeny_or_redundancy_alternative	falsifier	would_skeptical_reviewer_accept	source_path	source_commit
P-17	Mestre history	Phylogenetic PLACEMENT into the historical 11-clade system is possible with a validated discriminator (MCC-v3.1 + LWR).	query sequence	shuffled confidently placed 7.9% (59/746) v3.1 and 19.8% (170/860) v2 vs a <=1% limit	results/m2a_reference_reconstruction/tables/CONTROLS_v3_K3.json	FAILED	FAILED	yes - K3 declared before the run	Codex FAIL 4.5/10; LWR shuffled median 0.998; non-retron panel PASS is 1,080/1,083 extraction failures	HIGH	placements collapse on a clade-3 attractor	a confidence statistic separating shuffled from real	NO	docs/decisions/2026-09-19_m2a_outcome_stop_and_review.md	b05934f (freeze e047fdc)
P-40	modern phylogeny	A modern, label-independent de novo retron RT phylogeny fails / is not worth attempting.	RT sequence or structure	NO SUCH ANALYSIS HAS BEEN RUN IN THIS PROJECT	none	NOT_YET_TESTED	WRONGLY CLOSED IN REV1	n/a	the 5 failed tree routes are prior-project, UNVERIFIED here, and targeted different questions	n/a	P-17's failure is about placement into a historical system, not about de novo inference	a preregistered de novo attempt with declared criteria	NOT SUPPORTED EITHER WAY - rev-1 recommendation withdrawn	idea-stage/programme/06_tree_and_structural_route.md	94a1a78
P-18	SPIRE discovery	Retron ncRNAs can be discovered de novo by comparative covariation on held-out loci.	locus group	HELDOUT 85 groups (81 evaluable)	analysis/spire_ncrna_audit/ROUND2	FAILED	FAILED	yes - G1-G6 frozen; G7 added after DEV before held-out	G1 2.88x vs required 3x; G7 method 343 vs fixed interval 901	MEDIUM - truth is the CM call	covariation non-specific: 88% distal windows, 100% of group II sets	a method beating the positional prior on held-out loci	NO	analysis/spire_ncrna_audit/ROUND2/RESULTS.md	ed4a663
P-19	SPIRE features	A retron-enriched ~90-nt internal ncRNA submotif and a type-conditioned positional prior exist and are usable as FEATURES for a future boundary model.	locus / instance	1,793 instances, median centre -116nt, median length 88nt; retron 140/164 (85%) vs non-retron 42/80 (52.5%), Fisher p=1.0e-7, OR 5.3; per-type prior 969 (92.2%) IoU>=0.5 vs method 343	analysis/spire_ncrna_audit/POSTMORTEM	PRELIMINARY (as features)	PRELIMINARY (dismissed in rev1)	no - post-mortem	none	HIGH - overlaps the locus's own CM call 97.9%; the 21 CMs were built by CMfinder	yes	evaluation against non-CM truth showing no transfer	NO as discovery; YES as an inherited feature/prior	analysis/spire_ncrna_audit/POSTMORTEM/RESULTS.md	ed4a663
P-20	CM ncRNA annotation	Retron RT-ncRNA geometry is stereotyped: 94.5% upstream, median 55bp, 99.8% same strand, 94.41% zero CDS between.	canonical placement	344,154	results/dbchar_g3_pair_geometry	ESTABLISHED as detector description	ESTABLISHED as detector description	yes - conventions declared before data	independent second count	HIGH - g3 concedes partial circularity	CMs trained on msr-msd in this position	the same geometry from a positionally unbiased detector	YES as description, NO as biology	results/dbchar_g3_pair_geometry	94a1a78
P-21	CM ncRNA annotation	About half of retron loci carry no detected ncRNA (47.24%).	physical locus	298,850 of 632,688	results/dbchar_g3_pair_geometry/tables/g3_zero_class_by_family.tsv	SUPPORTED_WITH_LIMITATIONS	SUPPORTED_WITH_LIMITATIONS	yes	carriage swings 6.6-fold with tool combination	HIGH - 17 of 18 PADLOC rules score on the ncRNA	upstream context length drives it (87.27% vs 42.91%)	a carriage rate from a CM-independent retron definition	NO as a biological rate	results/dbchar_g7b_stage1_extended_report	94a1a78
P-22	embeddings retrieval	Frozen RT and ncRNA representations identify the observed partner above chance and above length/GC decoys.	bipartite component	4,638 test pairs / 357 components	results/embed_g2_frozen_baseline	SUPPORTED_WITH_LIMITATIONS	SUPPORTED_WITH_LIMITATIONS	yes	permutation p=0.0005; reverse direction 0.4738	MEDIUM	82.46% of held-out RTs have a >=0.50-id training relative	failure on a homology-disjoint split	YES at type level	results/embed_g2_frozen_baseline	8bf7207
P-23	embeddings retrieval	Retrieval is partner-specific beyond retron type (rung 3).	bipartite component	+0.0298 [-0.0048,+0.0633]	results/embed_g2_frozen_baseline/tables/g2_test_ladder.tsv	UNDERPOWERED	UNDERPOWERED	yes	escalation correctly refused	HIGH - retron type is the ncRNA's own CM label	sub-type relatedness uncontrolled in this gate	a powered type-matched arm clearing the margin	NO	docs/decisions/2026-09-18_embed_g2_closure.md	8bf7207
P-41	X2 level (i) lineage	Broad RT-lineage information predicts the cognate ncRNA beyond the type label.	bipartite component	1,075 components / 30,924 pairs, 5-fold component-blocked cross-fit	results/embed_x2_rt_specificity_confirmation/tables/*	ESTABLISHED (within this population)	NOT_IN_REV1	yes - gate frozen in DESIGN.md 8 before any estimate	G-U -0.04256 [-0.04619,-0.03893] 86.0% of components; G-T -0.01919 [-0.02339,-0.01498]	MEDIUM	this IS the lineage effect, measured deliberately	G failing to beat T	YES	results/embed_x2_rt_specificity_confirmation	4f8550b (results) / fdf0872 (closure, governing)
P-42	X2 level (ii) exact-RT residual	The exact RT carries information beyond its own 50%-identity homolog representative.	bipartite component	1,075 components; T4 247 components	results/embed_x2_rt_specificity_confirmation/tables/LINEAGE_CONTROL.tsv	SUPPORTED_WITH_LIMITATIONS	NOT_IN_REV1 (rev1 said FAILED)	yes	R-G -0.00551 [-0.00797,-0.00312]; same sign on 3/3 seeds; T4 -0.00499 [-0.00945,-0.00055]	MEDIUM	G explains ~77% of R-T (G-T -0.019 of -0.025); near-duplicate sensitivity arm SPANS ZERO (-0.00210 [-0.00601,+0.00196])	seed sd 0.0051 ~ the point estimate 0.0055; magnitude undetermined | a seed-replicated estimate with a stable magnitude, or a null in the least-similar quartile	YES in sign, NO in magnitude	results/embed_x2_rt_specificity_confirmation	4f8550b (results) / fdf0872 (closure, governing)
P-43	X2 level (iii) pair discriminability	The model separates the observed RT from its nearest plausible alternatives at pair level.	pair (within component bootstrap)	C3 30,922 pairs / 1,073 components; C4 29,186 / 451	results/embed_x2_rt_specificity_confirmation/tables/COUNTERFACTUAL_EFFECTS.tsv	UNDERPOWERED / not demonstrated	NOT_IN_REV1	yes - counterfactual rules frozen before any result	effect decays ~10-fold: C1 +0.01766 -> C2 +0.01543 -> C3 +0.00397 -> C4 +0.00168; at C3 the RAW PAIR-LEVEL mean is -0.000205 (nominally negative, median +0.000187) while the component interval excludes zero	HIGH	C3 favours the observed RT in only 52.5% of PAIRS; the closure states the pair-level view is what forbids any per-pair biological reading; C4 significance does not imply substantive discrimination	a C3/C4-strength control with clear pair-level separation	NO	results/embed_x2_rt_specificity_confirmation	4f8550b (results) / fdf0872 (closure, governing)
P-44	X2 level (iv) biochemistry	RT-ncRNA biochemical compatibility / functional pairing.	RT-ncRNA pair	nothing measured	none	NOT_YET_TESTED	NOT_YET_TESTED	n/a	X2_CLOSURE.md 6 lists biochemical compatibility, binding, interchangeability and ORTHOGONALITY as explicitly NOT supported; a counterfactual RT is a conditioning control, never a negative pair	n/a	n/a	a binding, msDNA-production or interchangeability assay	NO - never tested; no local swap/orthogonality data exists	results/embed_x2_rt_specificity_confirmation/DECISION.md	4f8550b (results) / fdf0872 (closure, governing)
P-45	X2 controls	A model trained on within-type DERANGED RTs still beats the type label (permutation control is not flat).	bipartite component	1,075 components	results/embed_x2_rt_specificity_confirmation/tables/PERMUTATION_CONTROL.tsv	ESTABLISHED (as a qualification)	NOT_IN_REV1	yes - P arm declared in DESIGN	P-T -0.00590 [-0.01109,-0.00023]; R-P -0.01880	LOW	some benefit comes from conditioning on A real RT embedding, not THE right one	a flat permutation control	YES - and it bounds the primary effect	results/embed_x2_rt_specificity_confirmation	4f8550b (results) / fdf0872 (closure, governing)
P-46	X2 generalisation	The RT-specific effect generalises to RTs unlike those seen in training.	bipartite component	quartiles of nearest-training-RT cosine, ~7,731 pairs each	results/embed_x2_rt_specificity_confirmation/tables/SENSITIVITY_STRATA.tsv	UNDERPOWERED	NOT_IN_REV1	yes - stratification axes frozen	Q1 (<0.983) R-T -0.00584 [-0.01288,+0.00136] SPANS ZERO; Q2-Q4 -0.023 to -0.032	MEDIUM	R-G is flat across quartiles, localising the gradient to the T arm	a positive effect in the least-similar quartile	NO for unlike lineages	results/embed_x2_rt_specificity_confirmation	4f8550b (results) / fdf0872 (closure, governing)
P-26	co-evolution	RT and ncRNA co-evolve beyond shared ancestry.	RT-ncRNA pair	none	none - no phylogeny exists in this project	NOT_YET_TESTED	NOT_YET_TESTED	n/a	n/a	MEDIUM per contract C6	the prior co-variation result was V=1.0000 BY CONSTRUCTION	a PP-style block-constrained permutation with a control that can move	NO - never tested	idea-stage/docs/research_contract.md C6	94a1a78
P-27	terminal / fusion	Retron RTs fuse to partner domains at a rate differing from other RT families.	exact RT / domain	62 chains only; corpus-scale untested	analysis/stage3c_architecture_integration/TERMINI_FUSION_SUMMARY.tsv	UNDERPOWERED	NOT_YET_TESTED	n/a	Stage 3C produced six design requirements for a later task	LOW	EXTRA_DOMAIN is length-confounded; 39/62 chains truncated	a per-family fusion rate with matched controls	NO	analysis/stage3c_architecture_integration	34000ee
P-28	neighbours / accessory	Neighbourhood composition DISCRIMINATES retron loci from other RT loci.	locus	prior: retrons 27th of 41 families; 53.50% vs 45.36% neighbour-matched, fold 1.179 [1.161,1.198]	prior project - UNVERIFIED here	FAILED (prior, predeclared DEAD band)	FAILED	yes (prior)	not re-derived in v7	LOW	n/a	a modality on which retrons separate	YES that the DETECTOR door is closed; this says nothing about neighbourhood biology	idea-stage/programme/07_neighbourhood_and_operon.md	94a1a78
P-29	neighbours / accessory	What effector architectures surround retron RTs, at corpus scale.	accessory CDS / locus	41,250,531 accessory CDS, all has_sequence=False	none	NOT_YET_TESTED	NOT_YET_TESTED	n/a	n/a	LOW	n/a	an annotated neighbourhood with >=2 independently provenanced routes	NO - untested	docs/dbchar_workbench_snapshot/exports_v2/RT_NCRNA_DATASET_HANDOVER.md	12ea561
P-30	ncRNA boundaries	ncRNA boundaries can be recovered by comparative methods.	ncRNA instance	SPIRE R1 0-17.5% at +-20nt; Z6 0%; R2 60/1,051	analysis/spire_ncrna_audit	FAILED (comparative)	FAILED / NOT_YET_TESTED	yes	per-type positional prior reaches 92.2% IoU>=0.5 but truth is the CM's own cut	HIGH	n/a	a non-circular boundary truth set	NO	analysis/spire_ncrna_audit/POSTMORTEM/RESULTS.md	ed4a663
P-47	ncRNA boundaries	A non-circular boundary truth set exists locally at usable scale.	ncRNA instance	175 published extents; 12 exact-hash matches vs 80 blastn >=90% matches; 58 train-exposed	PANEL_LEAKAGE_MAP.tsv	PRELIMINARY	NOT_IN_REV1	n/a - measured in this synthesis	the exact/near gap is itself the measurable quantity (published extent vs CM cut)	LOW for the map itself	panel is 175/175 inside Mestre's reference set	a provenance record contradicting the panel attribution	YES that ~95 non-train-exposed extents exist; NO that 977 do	PANEL_LEAKAGE_MAP.tsv	this synthesis
P-31	experimental panel	Local assets contain 175 retron elements with measured RT-DNA production and/or editing, and 81 empirically determined RT-DNA sequences.	retron element (assayed)	175 rows; 67 production>0 of 103 measured; 100 human, 27 bacterial, 16 phage >0	support.csv sha256 80b2f565... + MOESM4 FASTA sha256 8a51cf71...	ESTABLISHED (inventory)	ESTABLISHED (inventory)	n/a - external data	ncRNA FASTA matches support.csv 175/175 by terminal id	MEDIUM	n/a	a provenance record contradicting the attribution	YES as an inventory	EXPERIMENTAL_RT_NCRNA_REGISTER.tsv	this synthesis
P-48	experimental panel	The panel is an INDEPENDENT validation set for this project's models.	retron element	only 16 of 175 fully external; 58 train-exposed, 33 val/test-exposed, 56 catalogue-only, 12 near	PANEL_LEAKAGE_MAP.tsv	FAILED (as independence)	ASSERTED-UNMEASURED IN REV1	n/a - measured here by exact sequence hash	145/175 RTs in the 501,561 catalogue; 175/175 carry a Mestre accession; X2 cross-fits ALL folds so every split-present element is X2-exposed	n/a	n/a	a larger external panel, or a leakage-removed subset	NO - and rev-1's 'usable as held-out benchmark' wording is corrected	PANEL_LEAKAGE_MAP.tsv	this synthesis
P-32	experimental panel	A 977-element experimentally validated retron ncRNA set exists.	ncRNA	no file with 977 records exists on this machine	none	FAILED (does not exist)	FAILED	n/a	two independent searches agree	n/a	nearest candidates (1,216/936) are CM calls; validated_ncrna true for 165	production of the file with stated provenance	NO - must not be cited	analysis/spire_ncrna_audit/docs/BLOCKED.md	ed4a663
P-49	methodological precedent	OpenCRISPR is a METHODOLOGICAL PRECEDENT for X1/X2, not an experimental result of this project.	design lineage / code audit	85/85 checkpoint tensors verified; SpCas9 conditioning 16/16 well-formed; MalE 0/64	analysis/embedding_rt_ncrna/OPENCRISPR_METHOD_COMPARISON.md	ESTABLISHED (as an audit and precedent); NOT AN EVIDENCE SOURCE for any biological claim	NOT_IN_REV1	n/a	code- and checkpoint-level verification only; published methods unretrievable (auth/403/429), recorded as an access limit, never as 'not done'	n/a - no biological inference drawn	n/a	a provenance record contradicting the code reconstruction	YES as precedent; the project did NOT reuse their training split, performance claims or biological negatives	analysis/embedding_rt_ncrna/OPENCRISPR_METHOD_COMPARISON.md	4f56519
P-50	methodological precedent	X1/X2 are an OpenCRISPR-inspired retron ADAPTATION, not a replication.	design	different molecule class, population, endpoint and controls	results/embed_x1_conditional_pilot + embed_x2_rt_specificity_confirmation	ESTABLISHED (as a design statement)	NOT_IN_REV1	yes - both bundles preregistered their own designs	the component-blocked bipartite split, the G and P arms and the C1-C4 hierarchy were introduced HERE to address retron sequence relatedness and lineage confounding	n/a	a protein-identity split does not control RNA-side family leakage - which is why the split was rebuilt	showing the adapted components reproduce OpenCRISPR's endpoint on its own population (not attempted, not needed)	YES	results/embed_x2_rt_specificity_confirmation	fdf0872
P-51	experimental panel	The 16 fully-external panel elements are a compatibility / orthogonality validation set.	retron element	16 elements	PANEL_LEAKAGE_MAP.tsv	FAILED (endpoint mismatch)	NOT_IN_REV1	n/a	they carry FUNCTIONAL measurements (RT-DNA production, editing rates), NOT RT-ncRNA exchangeability labels	n/a	nothing in the panel states which NON-COGNATE ncRNA an RT would or would not use	acquisition of measured swap/exchangeability data	NO - using them this way silently swaps the endpoint	PANEL_LEAKAGE_MAP.tsv	this synthesis
P-52	experimental panel	The panel may support external FUNCTIONAL validation of RT-DNA production or editing-related predictions, at a different endpoint from orthogonality.	retron element	16 fully external; 56 catalogue-only usable with care; 81 RT-DNA sequences; 67 production>0; 100/27/16 editing>0	PANEL_LEAKAGE_MAP.tsv + EXPERIMENTAL_RT_NCRNA_REGISTER.tsv	NOT_YET_TESTED (a preserved opportunity)	NOT_IN_REV1	no - requires its own preregistration	exposure classes are measured by exact sequence hash, so a non-exposed subset can be defined in advance	LOW for the exposure map itself	the functional endpoint is independent of the pairing endpoint	a prospective prediction that fails on non-exposed elements	YES as a future prospective analysis; NO as evidence about pairing specificity	PANEL_LEAKAGE_MAP.tsv	this synthesis
