source_citation	pmid	pmcid	doi	retrieval_status	why_used_or_not	cache_file	sha256
Structural mechanism of the Retron-Eco7 anti-phage defense system. Nat Commun 2025;16:66589.	41330933	PMC12673091	10.1038/s41467-025-66589-9	FULL_TEXT	Thumb deletion (d235-313) abolishes defence; no X/Y terminology (null row).	PMC12673091.txt	8853f3bb378b007afa949853c0ef79809d408bcb313ae28ed0cccc7e81eb16bb
Structural basis of antiphage defence by an ATPase-associated reverse transcriptase. Nat Commun 2025;16:63285. [retron I-A, PDB 9N69]	41006229	PMC12475279	10.1038/s41467-025-63285-6	FULL_TEXT	NAXXH+VTG as defining retron motifs; VTG predicted near priming G.	PMC12475279.txt	a53c43621a75641fcf1eb6d5293d04436507d234368928e42e8e0b6f0edad985
Structural basis of the RNA-mediated Retron-Eco2 oligomerization. Cell Discov 2025;11:823.	40897710	PMC12405507	10.1038/s41421-025-00823-y	FULL_TEXT	NAXXH/VTG conserved between Eco1 and Eco2; thumb His (Eco2 H281 / Eco1 H268) stabilizes msrRNA loop.	PMC12405507.txt	c152aeafd595f88f1c01b09f1fec8b545efbb0b7daa551f8fa1e85643aff2a84
Phage SSB detection by retron Eco8 msDNA unleashes nuclease-mediated immunity. Mol Cell 2025. [PDB 9P4J, 9P4K]	41172989	PMC13210406	10.1016/j.molcel.2025.10.007	FULL_TEXT	Conserved RSLb-thumb interaction mode across four retron systems.	PMC13210406.txt	bafeca3093ffe4ec7750b89899f95c35a418121edb8bb0494801af0c48b4f6b5
Disassembly activates Retron-Septu for antiphage defense. Science 2025;389. [retron Ec83, PDB 9E8Z]	40504952	PMC12240667	10.1126/science.adv3344	FULL_TEXT	RSLb docks on Ec83 RT thumb; no X/Y terminology.	PMC12240667.txt	ed4ea206154cdfa25c43f06b9438e48a648cd6f75ee6b22f59bc597273652c6c
Architecture and mechanism of a dual-enzyme retron system in prokaryotic immunity. Nat Commun 2025;16:67175. [Ec78]	41354673	PMC12804668	10.1038/s41467-025-67175-9	FULL_TEXT	RSLb wraps the Ec78 RT thumb; no X/Y terminology.	PMC12804668.txt	9907cb96914a252477cd4911846b3d92643864e92f1f277b178d83be9b6cfe64
Structural basis for retron co-option of anti-phage ATPase-nuclease. Nat Struct Mol Biol 2026. [Ec78; PDB 9NNB, 9NNH, 9NNK]	41174277	PMC12819146	10.1038/s41594-025-01702-6	FULL_TEXT	Null row: no X/Y/NAxxH/VTG statement; thumb only.	PMC12819146.txt	18c223d35baaaaac1b2e0c681f4684ae39c563a3189a417f6d5a294a609399ec
Structure and mechanism of antiphage retron Eco2. Nat Struct Mol Biol 2026. [PDB 9I2F, 9I2G, 9S1F]	41709047	PMC12916289	10.1038/s41594-026-01754-2	FULL_TEXT	Null row: no X/Y/NAxxH/VTG statement; thumb only.	PMC12916289.txt	bc3647a7f35e661395a2e4a827cbd9107a04f2fde396c5de9af30c1053f71ef9
Structural basis of Retron-Eco8-mediated antiphage defense. Nucleic Acids Res 2026.	41665008	PMC12887533	10.1093/nar/gkag111	FULL_TEXT	Thumb 267-374 in Eco8 RT; null for X/Y.	PMC12887533.txt	c689e983661f2b3fde3ceb2d96d2be7002e579406721b08726e4af75e848181b
Mechanistic insights into activation of bacterial Retron-Eco8 immunity by phage protein SSB. Nat Commun 2026;17:74106. [PDB 9LBQ]	42270618	PMC13402713	10.1038/s41467-026-74106-9	FULL_TEXT	Thumb 270-374 in Eco8 RT; null for X/Y.	PMC13402713.txt	e861a0dece99823535fa2bba47da2e694212637d6ef90a85b9b61d5b51432591
Structural insights into the assembly and function of Retron Ec78 PtuAB. Commun Biol 2026. [PDB 9VKZ]	42106568	PMC13376987	10.1038/s42003-026-10199-8	FULL_TEXT	Null row.	PMC13376987.txt	dad98451f15f1fd0a44ab7f333773c3a3e2d41cb3c6e54c297c1d78284daedcc
Caigoy JC, et al. Genetic characterization of a novel retron element isolated from Vibrio mimicus. Microbiol Immunol 2025;69.	39558231	PMC11701397	10.1111/1348-0421.13181	FULL_TEXT	Residue-numbered NAXXH (90-94) and VTG (244-246) in a non-model retron RT.	PMC11701397.txt	3d0575d9df803050a6ee1e686ad91360282375cb1a238c49008e43bd47e54710
Blocker FJH, et al. Domain structure and three-dimensional model of a group II intron-encoded reverse transcriptase. RNA 2005;11:14-28.	15574519	PMC1370687	10.1261/rna.7181105	ABSTRACT_ONLY	Group II domain X = thumb, downstream of RT1-7 (terminology hazard). PMC record holds only front matter/abstract (scanned article).	PMC1370687.txt	a3922408bcc3b010c8c7b8269723edeb1ab8c5e7bbeb83ea139957493087a34e
Xiong Y, Eickbush TH. Origin and evolution of retroelements based upon their reverse transcriptase sequences. EMBO J 1990;9:3353-3362.	1698615	PMC552073	10.1002/j.1460-2075.1990.tb07536.x	NOT_RETRIEVED	Origin of the RT1-7 motif numbering. PMC copy is a scanned PDF with no machine-readable body; not quoted here.		
Zimmerly S, Wu L. An unexplored diversity of reverse transcriptases in bacteria. Microbiol Spectr 2015;3:MDNA3-0058-2014.	26104699		10.1128/microbiolspec.mdna3-0058-2014	NOT_RETRIEVED	Cited by Simon et al. 2019 (with Toro 2014) as a source for the region X delimitation. journals.asm.org returned 403; not in PMC.		
Carabias A, et al. Retron-Eco1 assembles NAD+-hydrolyzing filaments that provide immunity against bacteriophages. Mol Cell 2024;84. [PDB 8QBK/8QBL/8QBM]	38788717		10.1016/j.molcel.2024.05.001	NOT_RETRIEVED	cell.com returned 403 (Cloudflare); no PMC record. Whether it comments on region X/Y is UNKNOWN.		
DNA methylation activates retron Ec86 filaments for antiphage defense. Cell Rep 2024;43:114857.	39395169		10.1016/j.celrep.2024.114857	NOT_RETRIEVED	cell.com 403; no PMC record.		
Millman A, et al. Bacterial retrons encode phage-defending tripartite toxin-antitoxin systems. Nature 2022;609:144-150.	35850148	PMC11938430	10.1038/s41586-022-05091-4	NOT_RETRIEVED	Europe PMC fullTextXML returned an empty stub; full text not read in this audit. Not used as evidence.		
Lopez SC, et al. An experimental census of retrons for DNA production and genome editing. Nat Biotechnol 2025;43.	39289529	PMC11911249	10.1038/s41587-024-02384-z	NOT_RETRIEVED	Europe PMC fullTextXML returned an empty stub; not read. Would be the natural place to look for many-retron RT/ncRNA pairing data - OPEN GAP.		
Mohr G, Perlman PS, Lambowitz AM. Evolutionary relationships among group II intron-encoded proteins and identification of a conserved domain that may be related to maturase function. Nucleic Acids Res 1993;21:4991-4997.	8255751		10.1093/nar/21.22.4991	NOT_RETRIEVED	Primary naming of group II 'domain X'; not fetched (terminology already documented from Blocker 2005 and Simon & Zimmerly 2008).		
