input_id	path	role	trust_grade	frozen_ref	sha256_observed	sha256_expected	expected_source	verdict	bytes
3A_ss_5VBS_A	analysis/stage3a_structural_core/g2r/results/rt_ss/5VBS_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	07640b4712635590b8f99a54d97e941820207c9d9332814cc6943fa4183a9581	07640b4712635590b8f99a54d97e941820207c9d9332814cc6943fa4183a9581	git blob 67c137ba	MATCH	8283
3A_ss_6AR1_A	analysis/stage3a_structural_core/g2r/results/rt_ss/6AR1_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	8043ee5be1940273056bc8c1eb252dcd005094d0d72c914d4c197b6340830c33	8043ee5be1940273056bc8c1eb252dcd005094d0d72c914d4c197b6340830c33	git blob 67c137ba	MATCH	14051
3A_ss_6ME0_C	analysis/stage3a_structural_core/g2r/results/rt_ss/6ME0_C.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	0b97efb6b1a91ad21ebfc6bef1304df4bb2fe8564cc59858f410b393e3e227a9	0b97efb6b1a91ad21ebfc6bef1304df4bb2fe8564cc59858f410b393e3e227a9	git blob 67c137ba	MATCH	13985
3A_ss_6MEC_C	analysis/stage3a_structural_core/g2r/results/rt_ss/6MEC_C.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	73d3efcf2d3d523fe697f32e09342c39f94585eeda147a09a24751934a7bebf8	73d3efcf2d3d523fe697f32e09342c39f94585eeda147a09a24751934a7bebf8	git blob 67c137ba	MATCH	13976
3A_ss_7KFT_C	analysis/stage3a_structural_core/g2r/results/rt_ss/7KFT_C.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	1cc7c59182c3dc1ccdff4a8155725c4de75f106b5950d4cbfe5864a618213fd1	1cc7c59182c3dc1ccdff4a8155725c4de75f106b5950d4cbfe5864a618213fd1	git blob 67c137ba	MATCH	19280
3A_ss_7R06_A	analysis/stage3a_structural_core/g2r/results/rt_ss/7R06_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	f0854dbb3269bbe23440d8ff53bc48424ddc642d508c7c8565d140b07caf2569	f0854dbb3269bbe23440d8ff53bc48424ddc642d508c7c8565d140b07caf2569	git blob 67c137ba	MATCH	20181
3A_ss_7R08_A	analysis/stage3a_structural_core/g2r/results/rt_ss/7R08_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	13eae255c237e5cf0a409c3bf9c90c3a599eed4c4f6e6377c590ceb27493705e	13eae255c237e5cf0a409c3bf9c90c3a599eed4c4f6e6377c590ceb27493705e	git blob 67c137ba	MATCH	16454
3A_ss_7UIM_D	analysis/stage3a_structural_core/g2r/results/rt_ss/7UIM_D.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	6ac3f9f70f4882203f20da4f3cc17847e68b67ecd9bc88b9dced55c45d0f973e	6ac3f9f70f4882203f20da4f3cc17847e68b67ecd9bc88b9dced55c45d0f973e	git blob 67c137ba	MATCH	13017
3A_ss_7UIN_D	analysis/stage3a_structural_core/g2r/results/rt_ss/7UIN_D.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	fd70e2412db119073438c756f7203f0544a41b46c90967a555c17fd64ea6b749	fd70e2412db119073438c756f7203f0544a41b46c90967a555c17fd64ea6b749	git blob 67c137ba	MATCH	13037
3A_ss_7V9U_A	analysis/stage3a_structural_core/g2r/results/rt_ss/7V9U_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	6351326bf018c59ba63d40e7abe9a4ca74a70bd0c66778f5ea258730d046d225	6351326bf018c59ba63d40e7abe9a4ca74a70bd0c66778f5ea258730d046d225	git blob 67c137ba	MATCH	10371
3A_ss_7V9X_A	analysis/stage3a_structural_core/g2r/results/rt_ss/7V9X_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	fb3287218f5f4cc23942ea067da08160373cba5fdf68325443db68140b7eabff	fb3287218f5f4cc23942ea067da08160373cba5fdf68325443db68140b7eabff	git blob 67c137ba	MATCH	10541
3A_ss_7XJG_A	analysis/stage3a_structural_core/g2r/results/rt_ss/7XJG_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	c6f24b25fc34277d7489716617dafb11af22060241d036b92ac4fe2bc9916db3	c6f24b25fc34277d7489716617dafb11af22060241d036b92ac4fe2bc9916db3	git blob 67c137ba	MATCH	10541
3A_ss_8BGJ_A	analysis/stage3a_structural_core/g2r/results/rt_ss/8BGJ_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	2fb8055f17829a8938a46980d9baa025968e6e49046a041c6435e3c18a67c9d6	2fb8055f17829a8938a46980d9baa025968e6e49046a041c6435e3c18a67c9d6	git blob 67c137ba	MATCH	6740
3A_ss_8C8J_A	analysis/stage3a_structural_core/g2r/results/rt_ss/8C8J_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	a4cc89edc8285a749e992b2630f9616d439a5796a705daf2500f52c309c546dd	a4cc89edc8285a749e992b2630f9616d439a5796a705daf2500f52c309c546dd	git blob 67c137ba	MATCH	23835
3A_ss_8FLI_B	analysis/stage3a_structural_core/g2r/results/rt_ss/8FLI_B.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	e728e662469dbb7a98d4fbe853b8c140195b668c9c42d94447872a8c760c55cc	e728e662469dbb7a98d4fbe853b8c140195b668c9c42d94447872a8c760c55cc	git blob 67c137ba	MATCH	15498
3A_ss_8GH6_A	analysis/stage3a_structural_core/g2r/results/rt_ss/8GH6_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	733a766595ebf6db32d41649ed03e718c8b3ef528c91b7e629a36a19fc57d258	733a766595ebf6db32d41649ed03e718c8b3ef528c91b7e629a36a19fc57d258	git blob 67c137ba	MATCH	30784
3A_ss_8OZ7_A	analysis/stage3a_structural_core/g2r/results/rt_ss/8OZ7_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	06fab00bbaf22063edc92dcc31b60cbb3bfe872ecd935e6fca5c750043602004	06fab00bbaf22063edc92dcc31b60cbb3bfe872ecd935e6fca5c750043602004	git blob 67c137ba	MATCH	20176
3A_ss_8QBK_A	analysis/stage3a_structural_core/g2r/results/rt_ss/8QBK_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	eb6a4918a04c08b9ee43b61e1125a31a85fab682751c9013a02e7518c5eba5f6	eb6a4918a04c08b9ee43b61e1125a31a85fab682751c9013a02e7518c5eba5f6	git blob 67c137ba	MATCH	10379
3A_ss_8QBL_A	analysis/stage3a_structural_core/g2r/results/rt_ss/8QBL_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	66846b421a546de7e0ca9f885e496f249956e06d64e4b834d133b36970435ead	66846b421a546de7e0ca9f885e496f249956e06d64e4b834d133b36970435ead	git blob 67c137ba	MATCH	10377
3A_ss_8QBM_A	analysis/stage3a_structural_core/g2r/results/rt_ss/8QBM_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	ac0c2c63fd3cfc02e87c19b249021860db1e6f81b1d57b175af29bd24b7812b3	ac0c2c63fd3cfc02e87c19b249021860db1e6f81b1d57b175af29bd24b7812b3	git blob 67c137ba	MATCH	10379
3A_ss_8SXT_A	analysis/stage3a_structural_core/g2r/results/rt_ss/8SXT_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	7422d8eaa6a1e0cf96d74241e6ea539afab9a1a37fdb718ee0c93c9e0a72f9b3	7422d8eaa6a1e0cf96d74241e6ea539afab9a1a37fdb718ee0c93c9e0a72f9b3	git blob 67c137ba	MATCH	24764
3A_ss_8UB7_A	analysis/stage3a_structural_core/g2r/results/rt_ss/8UB7_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	25d75ccd4625a0ad0c1e628d22b859d8d027b639bd917c2d18f45dea2a135718	25d75ccd4625a0ad0c1e628d22b859d8d027b639bd917c2d18f45dea2a135718	git blob 67c137ba	MATCH	11001
3A_ss_8UBD_A	analysis/stage3a_structural_core/g2r/results/rt_ss/8UBD_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	1664ecfdc3d0d7046bb5be1a6c59d39005b14ac27b1cd4655afe82919135f622	1664ecfdc3d0d7046bb5be1a6c59d39005b14ac27b1cd4655afe82919135f622	git blob 67c137ba	MATCH	10897
3A_ss_8UW3_A	analysis/stage3a_structural_core/g2r/results/rt_ss/8UW3_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	94add9ce01ceb348b41710dab70c68f05ef428209676f323ccf47e2a51a343b5	94add9ce01ceb348b41710dab70c68f05ef428209676f323ccf47e2a51a343b5	git blob 67c137ba	MATCH	43862
3A_ss_9C0I_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9C0I_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	1efe1649c825e9af12f666cb162c292cb8a70d1461820dade58f55b256e93355	1efe1649c825e9af12f666cb162c292cb8a70d1461820dade58f55b256e93355	git blob 67c137ba	MATCH	14373
3A_ss_9D4S_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9D4S_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	353446c8048e8200b2dda02e72270a85d103a98bf5b3864c5edae07cde1fecc9	353446c8048e8200b2dda02e72270a85d103a98bf5b3864c5edae07cde1fecc9	git blob 67c137ba	MATCH	13747
3A_ss_9D5X_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9D5X_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	f7bf479c0ef9688bd1cf78cb8253814c493214296995b5321c223eef9a01d3e3	f7bf479c0ef9688bd1cf78cb8253814c493214296995b5321c223eef9a01d3e3	git blob 67c137ba	MATCH	13201
3A_ss_9DOU_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9DOU_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	4e90000fa097ae5b4e675967f43b69aa0a7efbc9bb61fc60d591a0820ccd0fae	4e90000fa097ae5b4e675967f43b69aa0a7efbc9bb61fc60d591a0820ccd0fae	git blob 67c137ba	MATCH	31945
3A_ss_9E8Z_H	analysis/stage3a_structural_core/g2r/results/rt_ss/9E8Z_H.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	0ca4f41db4411a4ab2f1e55c58334cf5335bf424f23a80da6f01759393433c9a	0ca4f41db4411a4ab2f1e55c58334cf5335bf424f23a80da6f01759393433c9a	git blob 67c137ba	MATCH	10260
3A_ss_9HDO_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9HDO_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	cc3d6a8325198fce9645382ceea2b8dc2cff607bc5af78256df6064db42c0146	cc3d6a8325198fce9645382ceea2b8dc2cff607bc5af78256df6064db42c0146	git blob 67c137ba	MATCH	35234
3A_ss_9I2F_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9I2F_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	d72a1ab2fd2336a424c161f21d621cef01d29a4c10006ef19ca8615bfa87af31	d72a1ab2fd2336a424c161f21d621cef01d29a4c10006ef19ca8615bfa87af31	git blob 67c137ba	MATCH	19690
3A_ss_9I2G_B	analysis/stage3a_structural_core/g2r/results/rt_ss/9I2G_B.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	9b7b9b4e36d5346faf81791d6d677a75382e66efe488ed6ce7af98ffc899890b	9b7b9b4e36d5346faf81791d6d677a75382e66efe488ed6ce7af98ffc899890b	git blob 67c137ba	MATCH	19607
3A_ss_9IOA_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9IOA_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	d4f2a6484a13496e3bcfb76e6ed7f207a8b2c45c23727cc629cc838cb5554eb0	d4f2a6484a13496e3bcfb76e6ed7f207a8b2c45c23727cc629cc838cb5554eb0	git blob 67c137ba	MATCH	16481
3A_ss_9K6G_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9K6G_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	f8896166d5c1baecc46d8fc79ea4272d833ddeb9fa84126df24c999a43bd9ec1	f8896166d5c1baecc46d8fc79ea4272d833ddeb9fa84126df24c999a43bd9ec1	git blob 67c137ba	MATCH	35341
3A_ss_9L7P_E	analysis/stage3a_structural_core/g2r/results/rt_ss/9L7P_E.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	78126e491d69ec1fdebce952d1cec93e32570f3d4551e2cd1f931ca0ff73f619	78126e491d69ec1fdebce952d1cec93e32570f3d4551e2cd1f931ca0ff73f619	git blob 67c137ba	MATCH	10359
3A_ss_9LBQ_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9LBQ_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	c4f01688123805948d2b350366f7164591dea2777e24c28d27bd7bb2f905990e	c4f01688123805948d2b350366f7164591dea2777e24c28d27bd7bb2f905990e	git blob 67c137ba	MATCH	10762
3A_ss_9LJE_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9LJE_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	4d9227e8e93dafdf4c28845d8b0ffadcdad7904895aa56585a4384fe9e5435ba	4d9227e8e93dafdf4c28845d8b0ffadcdad7904895aa56585a4384fe9e5435ba	git blob 67c137ba	MATCH	14106
3A_ss_9LPA_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9LPA_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	efb5e6b9b92237a989ba333f58bd939b571ec70c09bb2c6506f74b0454c26ab6	efb5e6b9b92237a989ba333f58bd939b571ec70c09bb2c6506f74b0454c26ab6	git blob 67c137ba	MATCH	12481
3A_ss_9N69_E	analysis/stage3a_structural_core/g2r/results/rt_ss/9N69_E.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	c72f330434a706441b743eacc980ec9e8047968a49355a3653b7f282f7bc1ef2	c72f330434a706441b743eacc980ec9e8047968a49355a3653b7f282f7bc1ef2	git blob 67c137ba	MATCH	10337
3A_ss_9NL2_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9NL2_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	ebd7f3fa3e80dfc6284a78a2bbcd625a775396d718c0103c2e2b1992983fd0e9	ebd7f3fa3e80dfc6284a78a2bbcd625a775396d718c0103c2e2b1992983fd0e9	git blob 67c137ba	MATCH	37964
3A_ss_9NL3_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9NL3_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	afbb95b01b4ff7a554d37db0071b2fbc926caaed5efa27f0af4db5b67c090b1f	afbb95b01b4ff7a554d37db0071b2fbc926caaed5efa27f0af4db5b67c090b1f	git blob 67c137ba	MATCH	37040
3A_ss_9NNB_B	analysis/stage3a_structural_core/g2r/results/rt_ss/9NNB_B.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	83c6d566b916563c19a92b47aefa4ae66c99f13e3db3acba53596e6623a253c6	83c6d566b916563c19a92b47aefa4ae66c99f13e3db3acba53596e6623a253c6	git blob 67c137ba	MATCH	10426
3A_ss_9S1F_B	analysis/stage3a_structural_core/g2r/results/rt_ss/9S1F_B.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	bf6d1c97ac1578a8b1f95b52f10328ab4c373b267cea719825c654898b2ef058	bf6d1c97ac1578a8b1f95b52f10328ab4c373b267cea719825c654898b2ef058	git blob 67c137ba	MATCH	19330
3A_ss_9VHE_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9VHE_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	5c7c04a5086c9a60ef72b8ba7d9ce0839b54abe3cb91451a1d6a215834bcd8ee	5c7c04a5086c9a60ef72b8ba7d9ce0839b54abe3cb91451a1d6a215834bcd8ee	git blob 67c137ba	MATCH	9169
3A_ss_9VHL_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9VHL_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	f1b3ed0ffad134c6fbdad1120a53bb23e9ba22205d5603d92315fa4cb73574a8	f1b3ed0ffad134c6fbdad1120a53bb23e9ba22205d5603d92315fa4cb73574a8	git blob 67c137ba	MATCH	9168
3A_ss_9WN8_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9WN8_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	2158523abf09f98c035e9a41cffd8fc1bd8f082f6d3b3384a9071a9de3ff0291	2158523abf09f98c035e9a41cffd8fc1bd8f082f6d3b3384a9071a9de3ff0291	git blob 67c137ba	MATCH	11924
3A_ss_9WY8_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9WY8_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	b32e063891ce7a170c12863b5961e6244966db8ff7c21d2b4a575d84c981d348	b32e063891ce7a170c12863b5961e6244966db8ff7c21d2b4a575d84c981d348	git blob 67c137ba	MATCH	16702
3A_ss_9X94_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9X94_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	e1aff3b344d1be799a420c2b5d1f70905340c065f0351899ec7ca212855b0e09	e1aff3b344d1be799a420c2b5d1f70905340c065f0351899ec7ca212855b0e09	git blob 67c137ba	MATCH	11996
3A_ss_9X9B_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9X9B_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	9d0535565d5e48505d162578366920f4effc750d4d87c8abd61148ae49bd3d41	9d0535565d5e48505d162578366920f4effc750d4d87c8abd61148ae49bd3d41	git blob 67c137ba	MATCH	12000
3A_ss_9YFD_A	analysis/stage3a_structural_core/g2r/results/rt_ss/9YFD_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	dc525b7ad2d5761d58f3e1cfb6c9b39c21d82daa5a06dbe6fd04476fe9ad6361	dc525b7ad2d5761d58f3e1cfb6c9b39c21d82daa5a06dbe6fd04476fe9ad6361	git blob 67c137ba	MATCH	38936
