file_label	recovery_state	n_records	n_loci	unit	denominator
RVT-UG21	RECOVERED	1	1	records	records without a marked RT CDS in that family file
RVT-UG21	SEQUENCE_ONLY	4	4	records	records without a marked RT CDS in that family file
RVT-UG22	RECOVERED	1	1	records	records without a marked RT CDS in that family file
RVT-UG22	SEQUENCE_ONLY	1	1	records	records without a marked RT CDS in that family file
RVT-UG23	RECOVERED	2	2	records	records without a marked RT CDS in that family file
RVT-UG23	SEQUENCE_ONLY	3	3	records	records without a marked RT CDS in that family file
RVT-UG24	ILL_POSED	1	1	records	records without a marked RT CDS in that family file
RVT-UG24	RECOVERED	55	55	records	records without a marked RT CDS in that family file
RVT-UG24	SEQUENCE_ONLY	60	60	records	records without a marked RT CDS in that family file
RVT-UG26	ILL_POSED	2	2	records	records without a marked RT CDS in that family file
RVT-UG26	RECOVERED	32	32	records	records without a marked RT CDS in that family file
RVT-UG26	SEQUENCE_ONLY	33	33	records	records without a marked RT CDS in that family file
RVT-UG27	ILL_POSED	2	2	records	records without a marked RT CDS in that family file
RVT-UG27	RECOVERED	70	70	records	records without a marked RT CDS in that family file
RVT-UG27	SEQUENCE_ONLY	80	80	records	records without a marked RT CDS in that family file
RVT-UG28	RECOVERED	15	15	records	records without a marked RT CDS in that family file
RVT-UG28	SEQUENCE_ONLY	6	6	records	records without a marked RT CDS in that family file
RVT-UG28b	RECOVERED	22	22	records	records without a marked RT CDS in that family file
RVT-UG28b	SEQUENCE_ONLY	27	27	records	records without a marked RT CDS in that family file
RVT-UG3	ILL_POSED	4	4	records	records without a marked RT CDS in that family file
RVT-UG3	RECOVERED	67	67	records	records without a marked RT CDS in that family file
RVT-UG3	SEQUENCE_ONLY	66	66	records	records without a marked RT CDS in that family file
RVT-UG4	ILL_POSED	1	1	records	records without a marked RT CDS in that family file
RVT-UG4	RECOVERED	15	15	records	records without a marked RT CDS in that family file
RVT-UG4	SEQUENCE_ONLY	24	24	records	records without a marked RT CDS in that family file
RVT-UG5	RECOVERED	56	56	records	records without a marked RT CDS in that family file
RVT-UG5	SEQUENCE_ONLY	48	48	records	records without a marked RT CDS in that family file
RVT-UG6	RECOVERED	3	3	records	records without a marked RT CDS in that family file
RVT-UG6	SEQUENCE_ONLY	3	3	records	records without a marked RT CDS in that family file
RVT-UG7	RECOVERED	17	17	records	records without a marked RT CDS in that family file
RVT-UG7	SEQUENCE_ONLY	7	7	records	records without a marked RT CDS in that family file
RVT-UG8	ILL_POSED	2	2	records	records without a marked RT CDS in that family file
RVT-UG8	RECOVERED	77	77	records	records without a marked RT CDS in that family file
RVT-UG8	SEQUENCE_ONLY	95	95	records	records without a marked RT CDS in that family file
RVT-UG9	RECOVERED	9	9	records	records without a marked RT CDS in that family file
RVT-UG9	SEQUENCE_ONLY	4	4	records	records without a marked RT CDS in that family file
Retron	ILL_POSED	85	85	records	records without a marked RT CDS in that family file
Retron	RECOVERED	1636	1636	records	records without a marked RT CDS in that family file
Retron	SEQUENCE_ONLY	1856	1856	records	records without a marked RT CDS in that family file
