task_id	anchor_control	n_roots_with_hits	n_path	n_content	n_table_headers	n_parquet_schemas	absence_reportable	example_paths
T-F2-domain-architecture	PASS	13	206	892	101	5	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/broad_vs_family_specific_architecture_plan.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/t33_multi_architecture.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/code/ug25_gate.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/control/UG25_PREDECLARATION_v2.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/tables/ug25_sequence_results.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/myrt_fragment_vs_full_length_mapping.tsv
T-F3-retron-feature-contrast	NONE	11	26	253	6	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g3_pair_geometry/tables/g3_nonretron_vs_retron_geometry.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g3_pair_geometry/tables/g3_nonretron_cm_placements.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/INPUTS.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/REPORT.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g4a_frame_recovery/tables/g4a_transfer_to_challenge.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g3_pair_geometry/tables/g3_nonretron_cm_placements.tsv
T-F4-domain-partition-nonoperational	NONE	9	1	278	20	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/alignment_strategy_comparison.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/proposed/LAUNCHER_02_full_length_amendment.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/PROJECT_ANALYSIS_PRINCIPLES.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/BLOCKED.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/NEGATIVE_RESULTS.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/CLAIM_EVIDENCE_MATRIX.tsv
T-S1-structure-asset-inventory	NONE	13	85	919	70	5	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/broad_vs_family_specific_architecture_plan.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/figures/fig02_database_structure.svg;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/UG25_RESULT.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/t11_structure_annotation_by_model.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/fig09_ncrna_length_by_model.tsv
T-S2-foldseek-calibration	NONE	11	46	122	10	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g4b_production_mapper/docs/G7_STRUCTURE_PLAN.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g7a_rt0_rt7_bridge/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-18_stage2_g7_split_amendment.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-15_stage2_prior_dossier_audit.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/NEGATIVE_RESULTS.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/idea-stage/programme/04_palm_fingers_thumb_yxdd.md
T-A7-stage3a-positive-control	NONE	11	398	133	4	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/FIGURE_AND_ANALYSIS_PLAN.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g4b_production_mapper/docs/G7_STRUCTURE_PLAN.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-16_stage2_g4_design_amendment.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-16_stage2_scope_separation.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/TIER0_REPAIR_TABLE.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/NEGATIVE_RESULTS.md
T-S3-structural-core-interpretation	NONE	6	388	38	0	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g4b_production_mapper/docs/G7_STRUCTURE_PLAN.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/TIER0_REPAIR_TABLE.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/CLAIM_EVIDENCE_MATRIX.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/idea-stage/programme/02_rt0_rt7_definition.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/results/rt07_g4b_production_mapper/docs/G7_STRUCTURE_PLAN.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-stage3c/analysis/stage3a_structural_core/TRANSFER_READINESS.md
T-N1-neighbourhood-extraction-qa	PASS	13	62	601	80	5	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/scripts/c02_independent_cds_between.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/figures/fig21_carriage_by_upstream_context.svg;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/alignment_strategy_comparison.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/proposed/LAUNCHER_02_full_length_amendment.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/t24_carriage_by_upstream_context.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/t15_cds_between_by_unit.tsv
T-N2-neighbourhood-lineage-comparison	NONE	2	0	5	0	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/idea-stage/programme/07_neighbourhood_and_operon.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/idea-stage/programme/LAUNCHER_stage0_database_copy.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-mestre-audit/analysis/mestre_audit/subaudits/v2_v3_v5/v235_lineage.md
T-A10-genomic-architecture	PASS	13	340	806	129	8	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/broad_vs_family_specific_architecture_plan.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/scripts/f02_geometry.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/scripts/t01_tool_calls.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/tables/g6_extraction_asymmetry.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/tables/g2b_recovery_classes.tsv
T-A6-fixed-locus-carriage	PASS	11	48	325	16	6	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/figures/fig18_tool_upset_carriage.svg;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/figures/fig32_carriage_by_rt_length.svg;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/scripts/t01_tool_calls.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/log.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/DATASET_REGISTRY.md
T-E1-character-source-probe	NONE	12	12	324	0	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/PROVENANCE.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/dbchar_workbench_snapshot/exports/RESULTS_database_characterization_DRAFT.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/PROJECT_MAP.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/DBCHAR_WORKBENCH.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/dbchar_rt_ncrna_workbench/docs/results_database_characterization.tex
T-E2-shallow-clade-restriction	NONE	3	0	9	0	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/REPORT.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/scripts/findings.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/results/dbchar_g7b_stage1_extended_report/REPORT.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/results/dbchar_g7b_stage1_extended_report/scripts/findings.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-mestre-audit/analysis/mestre_audit/subaudits/v4/v4_reinference.md
T-E3-coevolution-vocabulary-lock	NONE	10	19	290	14	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g2_reference_reconstruction/tables/g2_frame_correspondence.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g4a_frame_recovery/scripts/g4a_correspondence.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/alignment_strategy_comparison.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/proposed/LAUNCHER_02_full_length_amendment.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g2_reference_reconstruction/tables/g2_frame_correspondence.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g3_prior_method_replication/tables/g3_prior_frame_correspondence.tsv
T-C2-cm-call-inventory	PASS	12	17	303	6	0	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/figures/fig10_model_composition_by_unit.svg;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/figures/fig10_model_composition_by_unit.png;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/REPORT.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/FIGURE_AND_ANALYSIS_PLAN.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/fig09_ncrna_length_by_model.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/t09_ncrna_length_by_model.tsv
T-A19-withheld-model-control	NONE	5	0	33	0	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/proposed/LAUNCHER_02_full_length_amendment.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/validation_estimands.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-16_stage2_full_length_first_errata.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-16_stage2_g4_review_round2_and_repairs.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/references/rt0_rt7/myrt/Suppl_Toro_Tree.txt;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/references/rt0_rt7/mestre_2020/supp_material_systematic_prediction_paper.csv
T-S07-reopen-design	NONE	11	288	420	21	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/rt0_test_design.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/proposed/LAUNCHER_02_full_length_amendment.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_residue_mapper_gate/tables/fresh_lineage_candidate_audit.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/PROJECT_MAP.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/PROJECT_ANALYSIS_PRINCIPLES.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/NEGATIVE_RESULTS.md
T-A5b1-rtdna-anchors	NONE	13	24	819	78	4	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/candidate_anchor_definitions.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g4b_production_mapper/control/FROZEN_ANCHORS.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/MANIFEST.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/tables/g2b_recovery_classes.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/tables/g2b_representation_classes.tsv
T-R1-rtdna-direct-mapping	NONE	11	6	530	19	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g7a_rt0_rt7_bridge/scripts/s02_coordinates.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g7a_rt0_rt7_bridge/tables/g7a_coordinate_carriage.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/scripts/assemble.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_residue_mapper_gate/tables/construction_mapper_validation.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g4b_production_mapper/control/FROZEN_ANCHORS.tsv
