task_id	title	stage	state	tier	compute	batch	hard_deps	populations_touched	notes
T-P1-relatedness-backbone	Cascaded identity clustering incl. the 50% level	S03a	READY_WAITING_OPERATOR	A	CPU_HIGH	2	-	RT-EXACT-501561 inspected	THE TRUNK, launcher frozen, worktree created, dry-run verified through the whole chain. NOT AUTHORIZED: the independent plan review (Codex 01a0bcb2) found RT-EXACT-501561 is INSPECTED and the ledger says it CAN STILL SERVE AS CONFIRMATION, so under WORKING_RULES 4a it is an unexhausted confirmatory population needing ONE EXPLICIT OPERATOR AUTHORISATION PER LAUNCH. Dispatch with: bash programme/launch_task.sh T-P1-relatedness-backbone
T-P1b-identity-partition	Cascaded identity partition of the exact-RT catalogue	S03a	COMPLETE_AWAITING_REVIEW	A	CPU_HIGH	autonomy	-	RT-EXACT-501561	live full run PID 810502; freeze 1a6909f; monitor-only for autonomous wave | FULL RUN COMPLETE 2026-09-20T20:17 (13,029.5 s, 7/7 levels, 501,561/501,561 assigned, 0 exclusions, 21/21 blocking controls PASS). Deterministic Type-A validator: 12/13 PASS. NOT promoted to PASS: endpoint_unchanged FAILED because the frozen launcher declares output_directory=analysis/t_p1b_identity_partition/ (pilot) and its section 11 states the 501,561 run is NOT authorised and needs a separate operator decision, which is not recorded anywhere in the repository. Execution validity is confirmed; AUTHORISATION is not. P1b_cluster_family_composition.tsv and P1b_cross_family_clusters.tsv remain QUARANTINED/INVALID.
T-R1b-rtdna-anchor-mapping	Direct coordinate mapping of measured RT-DNA onto its own retron ncRNA	S08	PASS	A	CPU_SMALL	autonomy	-	PANEL-RTDNA-81	accepted; 81/81 EXACT_UNIQUE REVCOMP; execution 7f09244
T-A23d-primary-verification	Resolve the primary references behind cross-pair curation	S12	RUNNING	A	ZERO	autonomy	-	LIT-CROSSPAIR	bounded external retrieval/evidence task; no protected population spend | autonomous wave | REFUSED | RESET input declaration corrected to a materialised local hashed input (freeze 26bbd28); re-running | autonomous wave
T-R2a-tierA-internal-geometry	Tier-A experimental RT-DNA geometry within retron ncRNA	S08	AUTHORIZED	A	CPU_SMALL	autonomy	T-R1b-rtdna-anchor-mapping	PANEL-RTDNA-81	scientifically reviewed; descriptive reuse of already-spent anchors; no Tier D | autonomous wave | PROCESS_FAILED | RESET failed exit 4 only because the harness wrote runner_logs/ into the declared output dir; science had passed 11/11. Harness fixed; re-running
T-R2b-buffington-engineered-delta	Buffington native-to-engineered msr-msd delta description	S08	AUTHORIZED	A	CPU_SMALL	autonomy	-	BUFFINGTON2025_RETRON_CATALOGUE	scientifically reviewed external comparator; no Tier D
T-D1-annotation-disagreement	Operational annotation-tool coverage and disagreement across RT records	S01	PASS	A	CPU_SMALL	autonomy	-	RT-TOOL-CALLS-3051238	current launcher endpoint already inspected; no new protected spend; waits on resource tokens while P1b runs | autonomous wave | Type-A execution validity accepted deterministically; verdict det-343ad0db7d4c1830
T-D2-taxonomic-distribution	Taxonomy join coverage and descriptive distribution of RT records	S01	PASS	A	CPU_SMALL	autonomy	-	RT-RECORDS-3059700	current launcher endpoint already inspected; no new protected spend; waits on resource tokens while P1b runs | autonomous wave | Type-A execution validity accepted deterministically; verdict det-8b71e287f9870ba9
T-P1c-family-label-description	Regenerate invalid P1b post-hoc family tables using explicit family_label	S03a	AUTHORIZED	A	CPU_SMALL	autonomy	T-P1b-identity-partition	RT-EXACT-501561	authorised scope but hard dependency keeps it WAIT_DEP until P1b is validly finalised PASS; no clustering rerun
T-M1b-embedding-cache-reverification	Re-verify and register the embedding caches with corrected identity	S10	AUTHORIZED	A	CPU_SMALL	autonomy	-	none	bounded asset repair; IO_HIGH; waits until P1b releases heavy I/O lane
T-S1b-structure-inventory-correction	Correct structure inventory identity and counts	S05	AUTHORIZED	A	CPU_SMALL	autonomy	-	none	bounded asset repair; IO_HIGH; scheduled after M1b and after P1b releases heavy I/O lane
